姓名,手机,年龄
童郁雯,13429056728,27
明治羽,13404608480,19
李美安,18513286256,24
赵彦儒,15526876619,21
曹静如,18544214947,23
林筱映,13142828937,21
陈志峰,13234514996,20
冯博文,15384942843,23
黄玉喜,18669229269,25
王冠杰,13159029877,28
洪文君,15933921794,18
沈泰菱,13118925920,27
黄启峰,15333983514,25
詹梅水,13366991486,25
蔡嘉山,13320525953,23
谢淑真,13971373754,27
刁佑正,15784221009,24
郑伊筠,13197770416,19
林怡如,18880293238,24
陈贞仪,15332815731,18
连凯琳,18523755826,25
骆秀珮,15534015350,22
夏佳琪,13412062856,27
王彦霖,13960501439,20
李宗宪,15526542430,24
林杰松,15228815600,29
蔡宗原,13540987724,18
蔡志行,18830256156,19
陈淳丰,15286227530,26
汪坚人,13969921664,21
赖婉君,13313160252,26
黄姿芬,18844981664,22
叶素菱,15619343354,22
陈弘隆,15290849451,27
魏雅芳,13939566652,29
李兰任,15833829130,26
杨士龙,13733793300,26
李佳颖,13737244098,18
郑伟哲,15322271610,21
陈俊豪,13782544793,26
施毅海,18643071960,24
周怡梅,18589950059,20
邬木绮,15219996310,21
张韵如,13536052710,28
柯尧萍,18952351818,25
林冠儒,13988247609,21
李淑惠,18601909771,22
林启名,18749512937,25
洪淑婷,13444793823,19
王士豪,18783623763,18
张瑞盈,13163229470,24
黄文彬,13658781132,27
吴与雄,18635446207,19
陈芸伦,13942860104,18
陈静轩,13119014404,23
刘雅莲,18526923575,22
林妙坤,15105395593,22
李纯贤,13201955980,28
林冠旭,18637592182,20
苏翰萱,13977631333,19
刘佳玉,13521078343,25
张国华,13157049528,25
陈静贞,15602555933,20
梁柏翔,13564589543,26
张玉燕,15762557602,23
洪坤瑞,18950076544,21
刘均瑜,15305621965,24
蔡嘉梅,15298604359,25
游良洁,15892958470,29
蔡宜齐,13159847145,26
阚星钰,15829782538,23
徐木辰,13627424074,23
邱承颖,15849374532,27
吴怡萱,18753121353,24
陈宜祥,15322587303,19
孙治木,13295376208,27
林哲茹,13572401597,29
游郁涵,18859552339,18
刘宛君,15131163766,28
林政哲,15771208294,29
谢耀德,13226823439,19
刘芳仪,13996564134,26
邓恭信,15914969320,20
何玉华,13397531589,20
林威宇,15394713847,19
曾宛臻,18697620356,26
张碧志,13147275296,22
陈均天,18915429613,24
陈宜意,15759249204,22
林正霖,15934247503,19
吴维冰,18897592553,26
詹婉心,15762346032,18
张维松,13423118835,21
柯惠如,15991607483,29
林皇辰,15685787987,21
姜怡伶,15179847127,19
陈文君,13288584528,19
崔学山,15913926215,19
谢秉勋,18539478033,19
张冰旺,18701327804,22
庄惠宏,15790635603,25
苏美玲,15945709379,23
蒋如君,13184089396,27
曾阳谕,15614249954,20
黄正宁,13883031822,25
叶秋绮,18516885839,20
林珍瑶,18558592901,20
林兰亚,13746070957,24
吴台卿,18701250617,22
徐嘉俊,13398190416,23
张家宁,18707182124,25
陈婉友,15867127333,19
吕秀美,15272804300,21
陈博亦,13896743596,23
刘纯蕙,15605875437,26
崔振杰,18717944658,26
何乔友,13762880613,28
邓金良,15741152782,23
赖建琪,18567553314,25
谢宛俐,18981302113,20
谢文天,18956911560,22
刘玮恭,13977771391,18
李敬琴,18849620898,19
许启花,13492294536,26
陈哲玮,18648799724,21
王志维,18899212508,28
王依昀,18897658216,29
林雅安,13168878599,26
黄小嘉,13236904327,26
吴彦君,13320871020,18
王柔靖,13167993497,28
陈坚顺,18651109235,26
潘心盛,15580308314,18
黄启仲,18819705097,29
林春任,13743592055,19
黄俊铭,13786244585,25
杨宗翰,13941056012,23
汪慧君,18627065850,24
刘佑泰,13260239511,28
张睿群,18732171083,21
吴宜江,18993847712,21
林军辰,13368660599,26
袁静怡,15754216653,21
张品治,15264317361,18
李珮心,13659665083,23
郑崇海,15954379819,18
许俊来,18812268807,26
杜得齐,13204482134,20
叶庭玮,13438497673,27
惠协发,13874618161,20
谢泰平,18795566672,22
王淑娟,15346552524,20
陈正茜,18948031098,19
吴雅玲,18543590801,24
林维哲,13538896654,27
刘政勋,13240789063,21
赖秉竹,15353193657,29
曹祯仁,15987327962,18
邱芸婷,15967865874,22
杨俊霖,13860431192,23
钱芝湖,13538692209,24
陈碧天,18974359573,20
彭君丰,18837260562,26
张家文,13304359712,27
李雅筑,15763036547,18
杨凯珠,13693009625,21
蓝紫启,15761378869,18
陈静维,15651471482,23
陈佳信,15302015663,23
徐真宜,13389926980,20
詹梦顺,13481206161,22
林琦桂,13887837210,23
陈致希,18900269577,23
谢台念,18891796882,23
张珮瑜,13927570370,22
吴月淳,15644794508,21
林文欣,13830716961,25
郭睿纬,13672651573,24
江佳原,18622148537,24
张景昌,18690973570,25
许静雯,13746888653,26
潘怡孜,13577018622,28
刘雅琪,15841568887,19
蔡怡君,13249848531,18
陈惠君,13810539278,19
冉佳琪,18597862223,23
蒙孟涵,15627856557,26
魏柏伦,13972135082,22
李俊映,15604623515,18
陈雅惠,13870044483,24
张淳珠,13544032697,29
蔡豪羽,15757768744,27
郭子扬,15371577761,26
吴彦文,13833894121,27
陈淑媛,13632730646,21
程建宏,15515927984,22
叶宝珍,18779587478,24
许志霖,15770965058,22
许欣怡,15534440847,21
邓翰辰,18969890889,19
陈建彰,13993641137,26
陈庆麟,13383523524,26
谢惠雯,18840299920,26
林晓薇,15889749599,29
林木康,15919294647,22
黄沛文,18523376289,21
刘育轩,18723508700,23
张欣桦,15936673971,29
李惠茹,13442932111,19
汪康馨,13102526206,18
程鸿珊,13688944959,19
王吉泰,13817876284,18
陈文豪,13264375976,25
童毓纶,18756696385,26
王丽刚,13200126275,19
黄秀雄,15700036212,27
陈怡婷,15124795478,23
林白珊,15344748855,20
洪宗翰,15357677160,25
王登康,13363230537,24
杨俊龙,15872910810,29
杜家瑜,15130929183,20
汪泰云,18781236202,20
蒋维茜,15808984934,26
杨宗翰,13887522313,25
苏碧绮,18848743272,27
倪建辉,13852349718,27
袁俊宏,13740003165,25
林平琴,13341570511,23
赵文宏,15622248310,19
林慧齐,18850708842,22
许秀珍,13168261549,28
陈美慧,15520213337,25
王涵阳,15878633009,18
李珮卿,15773174960,19
王志伟,15732366976,27
袁富毓,18950073231,24
黄建依,15567402104,24
黄坚源,13180317920,24
刘惠萍,13149740048,29
郑雅萍,18823773265,26
谢欢岳,13621759055,23
白柏宇,18974164569,18
杨彦君,13850952304,27
张家新,13192129642,22
王秀天,13597301541,19
何信希,15367356196,21
曹智仁,15376338074,20
张枝兰,18752761602,21
钟荣旭,15594102376,25
江维伦,15779735721,23
嵇信宏,13734414463,24
郭依仪,13272682223,21
张梦兰,13893542134,22
黄易湖,13441750412,19
陈雯欢,13832021486,27
邓柏毅,15333825968,21
童香皓,15300637719,21
黄允强,13548764196,25
羊淑玲,15207192605,20
翁雅馨,18711027151,20
蔡雅盛,13977721565,26
刘雅惠,13466614390,27
牛佩珊,13452004204,27
许伦孝,15734099619,28
陈美珍,15719451041,29
邓静宜,15730833818,19
刘颖柔,15682028397,19
谢永宇,15699662420,25
晏美云,18798878193,23
陈圣凯,15697649337,22
陈郁仲,18503981036,22
王映如,13965695002,22
吴文君,18749977231,29
刘盈甄,13730331650,21
林欣喜,15840129615,24
郭勋容,13560497607,27
毛怡君,18616932982,20
王轩豪,15177401587,26
卢淑芬,13535878697,20
张瑞桂,13388086543,20
赖家欣,13760916065,23
张伶强,13813928772,20
王嘉岳,18824805289,19
黄沛杰,13100702866,28
李育诚,13314020717,18
苏国维,18871972638,20
张维喜,18870193787,25
赵如彦,13758838127,23
王文治,18950599953,22
谢仕荣,15170604171,25
邓念珊,15559883169,28
郑志翔,18968102394,29
黄怡伯,13474342344,21
陈彦正,15918301535,29
许文菱,18692528990,23
黄介桂,15604459227,20
周紫来,18589596148,25
邱伟婷,18996645651,24
孙冠儒,18949012925,19
刘淑娟,15205014696,24
钟佩桦,18940842403,23
梁雅文,15586581869,26
高思妤,15696009569,22
陈美娟,15911306530,18
颜志嘉,13744459913,26
邱俊威,13836469220,27
林姵菱,13621975651,27
黄世齐,15770770845,29
杨坚琳,13868740807,24
沈忆劭,15233631231,29
傅思颖,15971879645,25
王忠来,18688267154,21
王建仪,13725702587,18
李姿妤,13653404148,21
李秀慧,15694237388,27
林承翰,15792788985,22
王吉茂,18736286384,23
项家玮,13619315703,27
白静芳,13479220131,18
曾惠雯,18699980946,18
杨皓书,18655665328,23
吴文燕,13331213462,25
许雅芳,13861484092,28
毛隆蕙,15736901858,21
张素欢,15665108630,19
杨美君,18529440400,28
林立强,15814785364,18
李胜杰,15646886078,24
林俊宏,13580239755,24
萧俊德,15106527526,26
陆又梦,13497137870,20
蒋湘梦,18860457034,23
吕淑美,15943741956,24
吴必蓉,18558471484,19
张香君,15574814762,18
李俊廷,15551941733,21
许佳霖,18951046255,28
谢孟珠,13308330581,23
郑镇宇,15843993813,20
刘雅雯,15990342457,23
王亦柔,18659943942,24
李易英,13422850477,28
刘萱俐,13594860603,28
连克欢,13775278287,26
吴雅惠,15130599766,25
袁涵雄,13553183710,22
蔡宜新,15570111790,28
季志安,15597324827,19
叶刚俐,13523440848,18
潘豪桂,15336666201,23
陈均莲,13131806242,21
赵丽美,15546019511,19
王仪谕,13581173651,20
陈雅茹,15871602797,21
杨德法,13847092175,19
赖妙俐,13366372759,25
林诗雅,18749137254,25
黄士荣,13816108051,29
吴明筠,18662068300,28
谢仁琦,18614813619,26
梁伟伦,15582520358,22
张晴明,15103708322,26
简志智,13979324728,26
吴雅柏,15965633085,27
赖雅惠,18597327713,23
刘建宇,15539671880,19
黄柏俊,15257393325,24
方家瑜,15971263413,24
季昆达,13900292660,18
黄玉绍,15296592927,29
李盈君,15703143645,22
葛建宏,18690387016,23
林孟茜,13546204628,20
谢财贞,18567005473,20
蔡士玮,13940464690,18
龙淑慧,15560617075,23
陈信旭,13653660150,19
郭学竹,15241960168,19
黄秋萍,15262657509,27
章宜静,15950725520,26
王嘉豪,18945415074,28
叶志远,15601196719,23
林美惠,18650599786,21
陈雅婷,18947067430,29
陈士铭,18874285650,29
陈家杰,18857636749,18
白姿育,13209912494,27
李平杰,15745572847,24
林淑慧,13844117128,18
谢馨慧,13924404466,21
卢晴德,15619106788,26
李岳宁,15182518582,19
彭旻幸,18582238478,29
毛冠宇,13618422632,26
蔡采恩,13542825163,19
张惠任,18638232517,28
朱千蕙,18660767404,22
林镇茂,15554118138,22
杨孟儒,13553863749,24
吴柏宜,15912076677,19
蔡宜江,13279217473,26
黄彦铭,18597309707,25
林秋谦,15351257617,18
陈淑彦,15142547751,20
林建宏,13496464669,18
黄佳昀,18582919031,23
陈中书,15135706423,19
陈映士,13424341651,25
潘嘉玲,15220208625,19
郭南季,15723344168,20
林家毓,15530849842,23
陈孟芬,15688431079,26
周珍天,15723278799,26
卫启欢,13258937529,25
刘丽颖,13717928705,26
吴刚睿,13926188011,19
赖美玲,15369321657,24
李建弘,18565068257,25
陈佑贤,13381378667,19
林映舜,15764052810,23
林惠学,13946331017,22
汪盈甄,13515221441,18
郦哲宇,15561501198,29
林凯翔,13617147322,29
廖婉宏,13296229376,22
林柏康,15682201389,19
程佩君,15707317880,22
郑俊颖,15814250746,19
李淑和,15753046148,27
蔡毅霞,13818907081,20
黄正萍,18990856663,23
林惠婷,13432230693,29
谢雅晴,15728019706,27
蔡军羽,13999374296,19
徐文宏,15111584922,20
林孟英,13732930676,21
蔡原秀,18836201969,20
谢亭君,15243417128,23
蒋泓美,18929232922,23
涂正伟,18609874761,21
方君豪,13661948126,25
李美君,18860748253,24
黄雅婷,15629860347,20
林冠学,13107367725,28
朱玟秀,18636007242,19
蔡咏欣,13675819648,20
陈伯白,13936384810,24
陈思一,15104656919,24
王诗平,13267487753,18
潘莹轩,13354334890,26
林宛莹,13628017349,23
李志贤,15971737569,29
邱健江,13439369491,28
谢佳琳,13456659671,20
周勇映,13742904506,20
黄明韦,18682917711,28
王宗芝,15298905047,21
薛木凡,18939774789,22
杨惠珍,13927803569,29
张冠伶,13486586717,18
吴慧合,13694407312,19
许孟涵,13458152179,24
陈彦学,15511269132,19
邱俊淳,15695409327,20
李允郁,15734542969,24
杨升海,18859287887,20
张与信,13849838768,24
周宏伟,13948923474,27
高孟君,15298063695,29
韩淑芬,15899718219,29
张金善,15336888204,18
陈美君,15992187734,25
刘依海,15734127913,26
林宗绿,13978903914,18
黄启尧,15337926994,18
赖益谦,15568198233,18
张士铭,15755423875,28
方语念,15745177883,20
韩俊宏,13801600618,21
柳韦伶,15885357645,25
陈立绮,13711984611,25
周佳欣,15575095578,22
林瑞惠,15943814843,25
蔡宛蓉,15721080827,26
刘思洁,13115845319,21
王俊纶,15115289426,25
王郁书,13800948762,23
林建成,13611969907,26
王思达,15738115393,24
吕玟嘉,18941203600,25
陈添杰,13514697854,20
许巧智,15942270973,26
白春茂,18617676778,29
郭珊绿,18891148664,24
吴逸绿,15750848474,23
杨家桂,15338593388,22
钱宗坤,15971949945,25
黄琬学,15889754940,28
陈韵伟,15170926430,23
张凯任,13738515942,27
李俊宪,13392186612,22
巫凯翔,15296151959,21
黄雅芳,13414875223,20
黄佳琪,13559912704,26
王怡君,15809038772,26
杨侑伟,13982544561,26
王瑞杰,13944996667,27
王立定,13702505725,26
郑铭淑,15803602682,22
李美铭,13749913616,19
王介乔,15272505885,19
周明生,13790021420,25
王佑诚,13119914541,27
李文华,13949287756,25
曾丽芬,13303760206,25
张伶月,15144093328,26
王静怡,18704578687,27
戴佳慧,13892024640,22
程博仪,13183396254,28
房皇帆,13387552768,25
陈明信,18677980696,26
黄子发,13893054060,29
张圣福,15381479394,21
李佩君,15269660502,18
刘郁婷,13223967746,25
罗玮婷,13245922355,18
陈盈轩,15945345772,24
沈永萱,13735373236,27
黄琼亚,15939833671,28
王豪贵,15661408848,25
吴佩芳,15111389222,27
陈慧明,13128322884,27
陈玲俊,13761080589,29
赖阳强,13113456637,22
赖儒奇,18612233993,19
袁纬萍,15373582540,26
杨菁学,15743888628,18
钱重谕,15356383745,21
徐嘉男,15350278620,23
陈正康,13190107257,27
徐冠宏,18591066670,29
许家铭,13767935770,28
吴珊斌,13501017725,18
蓝琬婷,13111980214,20
郑哲玮,13817341237,25
林祯龙,18537613348,28
陈淑季,15317241351,29
林家奇,18959093903,25
王智凯,15507090442,28
黄冠宇,13828079511,23
李耀中,18998453014,21
郑奕豪,13323541387,21
崔佳东,13969895131,26
吴怡昌,13675896841,26
赖裕翔,15187203736,28
张克清,15701230787,23
陈明哲,13879987398,27
吴宛佩,13139574595,29
林吉富,18794296617,18
吴惠凡,18981358520,25
陈耀德,15560827853,29
郑耀礼,18887078835,23
杨佳旭,13970409622,24
沈介新,18864096003,19
戴怡忠,18941816370,24
张中纯,15964519492,20
吴劭智,13337049776,24
黄俊娟,15332862823,21
郭欣瑜,15233308896,23
牛静怡,15807317688,25
杜秀娟,15718726606,18
萧劭花,15777566521,19
林佳珠,15515686044,18
翟秀玲,15532700699,24
黎任乔,15158245091,25
张雅慧,15675385643,21
刘家升,15955821026,20
陈淑枝,13691026974,21
古智仁,18946594944,23
黄孟勋,18827129082,27
许哲盈,15947409456,23
吴欣民,15692762462,25
陈秀祥,13410141865,29
杨珮珊,13621805304,24
杭翰真,13773331755,29
林哲铭,18572275394,18
张珮莲,15186968905,27
赖妙祯,13251492223,22
柴裕苹,13622708953,22
刘怡安,15980864937,23
陈宥俊,15825202900,24
张哲铭,13460837101,20
林侑轩,15612613227,28
林思宏,15568521374,23
郭秉奇,13312574021,20
张哲琇,13240260730,25
魏轩豪,18552339807,25
郑惠豪,15520782453,22
黄人裕,15547279591,20
宋翔容,13447168819,23
黄士新,18881019387,27
陈雅玲,13468346081,22
侯嘉侑,13170720976,20
吴佩彦,13277858792,28
陈嘉勋,15394484531,21
姚冠宇,13669084763,19
涂明全,15570873803,18
陈健茜,18869619437,27
黎怡文,18634114072,26
刘家隆,18745091513,21
韩晓萍,13343383471,28
王力依,18637356843,23
羊育廷,13638454466,23
林筱婷,15941991759,26
林诗涵,13430472498,26
林彦霖,18765971017,26
沈皓孝,13998924427,20
王凤以,13319805931,24
黄美慧,18914517307,25
杜莉婷,18970014505,20
姜盈秀,15327193290,28
倪佳玲,15516081453,27
李怡欣,18898368283,29
林建宏,15995969898,23
张心怡,15230609085,25
林彦心,15779117999,24
郭泰合,15936804681,24
林旭芷,13315646444,29
林丽弘,15839657629,23
王翔顺,15610632886,25
柯一尧,18643846347,19
王泰伦,13429756234,19
卢淑如,18650842747,23
林丽淑,13792704018,25
张馨士,13669598288,22
卢佳玲,18759606474,21
许宗颖,18990466098,28
刘嘉慧,13838599043,18
艾俊达,18630831275,23
林春玲,13236321091,19
杜智杰,15218843358,28
刘泓欣,13187957014,21
陈东奇,13687284243,23
陈怡友,13257251358,27
王菁娥,13222860155,23
王修行,13153784568,26
张晓玲,13433522981,18
谢瑜爱,15886164334,26
张雅男,15576261370,18
赵雅君,15910602285,19
竺德星,13606677379,25
陈绮梅,18742672180,21
叶耀祯,15302798325,24
白玉玲,15968978878,18
洪国祥,15334756736,29
杨淑博,18920215885,23
王玉霖,18799278926,21
陈信瑶,13887244656,26
夏勋怡,13871298963,24
杨佑雅,13166853167,23
陈嘉宜,13513889039,24
郑芝劭,13481154724,26
赖怡云,15604314108,27
李正乔,13201157115,18
王士杰,15132658676,19
林镇宇,13590550628,21
杨呈祥,15619471154,28
黄佳靖,13802934727,25
陈伟霞,18723248918,26
黄郁仲,13583055357,24
陈圣怡,15596946008,29
卢怡君,15384387134,26
黄平乐,13547258284,28
郭慧萍,15623316591,21
蔡任秋,13890888330,24
赖桂刚,13590770724,22
郭哲嘉,18551559683,29
李育源,18668679381,18
鞠淑敏,15918061697,29
傅俊安,15387784747,27
黄郁泰,13724910858,25
黄伟均,18736815535,26
郑丽韵,13566447209,18
周志杰,13893778564,28
李文蓁,13697215390,22
李姿苹,13541552675,25
黄心贞,15802456520,20
彭志宇,15378122158,18
陈佳蓉,13206695712,21
黄彦民,13334578033,20
赖雅岚,15716477304,29
杨惠雯,15972917876,27
李雅绿,15595985546,20
洪哲宇,15707914220,26
韩俊豪,15313137932,29
吴雅婷,18591667377,20
许宜芳,13666904751,19
陈宛惟,13944241199,21
聂睿海,13393469457,23
巩家铭,18878646518,25
吴新韵,15349948650,21
林慧佳,15911225063,23
吴文男,13412676211,28
陈玉玲,18843612920,19
林宜霞,13799783357,26
林淑惠,18558015673,22
吴馨白,15829786717,25
唐承颖,18532186118,24
许志峰,15502159905,27
陈玉如,18774696674,18
吕家庆,13908457700,28
卢玉玲,13929126395,26
童宜蓁,15538599748,23
林育珊,13473707318,23
杨淑辉,15100357722,28
陈姵军,18805035525,18
鲁冠宇,13788901948,22
张智强,13514513171,18
黄文意,15643493680,24
李莉雯,18877543446,24
许翊强,13780254142,25
蔡雅惠,18693867330,19
彭姵倩,13544782150,20
黄淑君,13709315768,20
卢原士,13953551706,21
林俊原,15968400371,23
陈韵发,18917669129,24
赵佳颖,13631020698,20
王淳紫,15770123526,28
陈文男,18665852240,18
钟逸治,15186198614,23
杜惠雯,15899270158,25
童杰绿,13331376405,23
李雅青,13665367724,23
许右轩,13380879836,27
张孟颖,15591108661,25
杨泓欣,13112719112,24
黄贞仪,13579367933,24
杨淑帆,15139778026,26
林淑齐,15817075926,24
曾以天,15873748843,23
郭玮茂,13340396806,18
黄钰名,15947455567,23
蓝恩芳,13243353911,18
何秀慧,13242019371,19
钱佩芸,13499186508,21
焦俊宏,15500414025,22
张珮瑜,13439124498,19
苏宪皓,13702067790,28
张思颖,18803023120,27
李美泉,18802018144,21
李俊伟,13826229277,29
吴品弘,15556962327,29
傅玉玟,15396202887,18
谢珊宪,13571625796,27
林士易,15167641671,21
余欣勋,18619274049,29
黄冠伶,15885723865,26
蔡明宏,15211174933,23
王美惠,15738370301,20
吕上枝,15744253126,24
杨健豪,13224604053,23
李嘉明,13419509559,22
宋珮华,15697408460,18
陈冠行,15663551225,20
郭庆清,15965687506,23
刘彦文,13610421534,25
蒋琦贵,13647482620,28
张俞成,18683322055,19
易珮如,15242249899,21
陈昭仪,15846237760,19
吴彦儒,13887435248,20
蔡浩英,13772223391,23
张致远,18566291207,20
杨美韵,13658024045,25
傅希伦,13828095596,28
林佑瑜,13334300287,29
柳左恩,13318841684,29
张天康,13297390005,20
白淑芬,15323196754,24
陈俊杰,18930570587,21
张美君,18914500894,22
黄嘉慧,13512093898,20
张顺木,18998271722,26
魏静怡,15967706381,29
温宇轩,18584489086,18
陈彦志,15694775179,28
郭美娟,18718911461,24
陈雅玲,18921227286,20
李筱映,13734012313,19
潘泓旺,15926510880,20
孙洁瑄,13284278073,28
尚晓强,13738420630,28
陈依芝,15197068946,24
黄佩玲,18584289095,23
林于婷,18504519541,29
张智钧,15219839021,27
陈文彬,15255102957,18
沈宝明,13128960875,28
林郁萍,18510473779,23
卞佑芸,13452066908,28
王欣怡,15170408309,18
林志群,15126624241,26
吴进淑,13988702029,23
黄俊任,18909070827,29
黄秀峰,13667279696,20
柳坤绿,15293044248,25
林瑜宣,13614110208,23
刘子惟,18967768781,29
陈佳静,13360010632,22
林志新,18765600870,18
苏秀柔,13995944795,24
叶弘月,18807206456,24
杨桂清,13494420798,19
陈金昀,15978294885,28
胡财东,13701416486,28
林政辛,18946171673,18
张乔易,15103624255,20
张婉瑜,15206172922,25
刘湘火,13300582082,28
杨凯翔,15547670657,26
蔡阿妹,15949595911,29
陈世竹,15606943608,26
刘雅惠,15122888630,19
刘素齐,18665033397,26
黄秋燕,15954600846,20
方肇俊,13811043435,19
刘千康,15149021758,20
叶怡伶,13961700342,21
吕碧杰,15955141166,25
张嘉湖,13372578003,19
陈香伦,13409415978,20
梁吉旭,18747849331,25
林万辰,15955195209,22
寇欢宣,13381226281,25
蔡哲荣,18847639032,22
张俊佑,15976721091,19
宋恭婷,18653655431,26
李奕辰,15703132005,26
周贤士,15345341364,28
夏淑珍,13166443134,26
黄晴珮,15934981147,22
杨心怡,18624598678,23
王筱群,15912086532,26
刘盈君,18557308459,24
萧建中,18869036084,25
奚立桦,13761727257,25
吴奕君,13593543151,18
林明菱,18842610466,28
刘石新,18983306122,18
周佳琇,18866179621,23
阮旭麟,13147724942,21
谢耀法,13570315005,28
郑伊财,18742092204,23
方怡璇,15251333897,22
吴淑媛,15687911847,26
孙依婷,15262529612,29
杨琬升,15902176752,19
孙馨慧,15118604663,24
李宜欣,18842347069,21
李欣怡,13995982306,24
郑馨仪,18704537543,23
黄茹冰,13598945314,25
黄建宏,15290508436,18
袁馨仁,13598799752,21
吴春韵,15333715657,18
钱希康,13933803921,20
黄峻维,18878406061,22
韩美慧,15719051583,18
张绮星,15906707194,26
吴东侑,15898320059,18
冯怡如,15360596094,20
谢俊颖,13728050264,23
周钧平,13469407623,21
陈莹洁,15154847714,19
苏维映,15567754905,25
许羽花,15501527383,23
陈心芸,13393756013,18
陈俊燕,13467563544,26
沈长行,15823607318,29
袁依婷,18568211922,19
王筱虹,13862016598,29
黄盈如,13367308000,29
朱子翔,18649040579,29
吴琳伟,18572076782,19
简宇贞,15242491334,24
支燕政,13618025857,22
杜品杰,13957249607,18
郑昱顺,13433485065,24
林易诚,18843827638,26
赖儒威,18578959080,29
陈春孝,15569433149,20
钱靖琪,15209606047,29
曾佑东,13849584769,28
王任辉,18636725984,27
文真玫,18635499315,21
崔惠瑜,18733008811,19
钱威廷,18975535703,22
黎轩学,13851494772,24
杨长璇,13552242697,26
蔡定妤,15140254638,18
竺冠宇,15133379323,29
胡忆书,15171589711,18
许昌沛,13446460873,20
彭尚杰,13587841978,26
冯家齐,15559656981,28
林欣颖,18966298306,20
杜于易,18989485525,22
冯夙元,15565613798,21
侯秉勋,18869689245,19
杨奇真,15561117036,20
黄丽易,18520727125,25
吴秋燕,18635687392,24
吴政尧,18618303422,19
吴嘉舜,18500005507,26
李佩芳,18679225825,26
黄珮瑜,13741495969,18
许彦霖,15158074986,25
韩宗颖,13106256754,26
吕宜婷,13857462435,18
周礼依,15535054538,26
吴孟花,13246442895,24
王淑慧,13719557574,28
倪俊毅,15726913504,26
李佩财,13271492033,29
林惠雯,13887973214,18
吴婉瑜,13919156570,20
蔡贞仪,18600524356,19
张志贞,13939741342,29
黄琬婷,15183661848,18
刘华法,13657445308,22
蔡绍绮,13518001401,20
吴怡英,18874389215,21
林意卿,15545017558,19
王乔龙,13355121004,25
刘均芳,13753228226,20
林崇苹,13950916634,27
林良杰,18651755216,25
王梅海,18507050508,22
李欣峰,13297379370,21
陈裕俐,13122262093,24
杨雅其,15701409130,28
黄信春,13252498162,28
张翠廷,15314496353,21
邓俞文,13964053358,24
蔡孟劭,15117589659,29
敖冠勋,15642925326,20
张雅正,18920078612,20
吴雅吉,18728485657,28
张芷勇,13815981174,28
周淑慧,15876031973,23
廖婉强,15931051350,21
林政天,15981992337,25
吴美惠,15964216293,19
林辛慈,15577581537,23
吴千光,13963842274,18
林如宣,13532882454,29
曾尧心,15825923166,29
颜岳威,18729256837,23
林宜臻,13173586479,29
黄惠如,13438457750,29
何敬念,15873443174,29
杨睿名,15939082290,20
张怡君,15899386170,29
吕国荣,15595031517,27
王士凯,13160028301,24
林淑娟,18561363961,29
黎士杰,15985212077,25
蔡亚妤,15127446098,18
张静雯,15222019566,26
陆毅昀,15797274588,19
黄俊铭,18873744372,20
李婉茂,15155974453,23
黄志玟,13463331240,19
魏婉斌,15823468302,28
黄洁玫,18877207231,25
骆伦春,18855292993,21
陈伟亚,18847213352,21
许芳喜,18734724588,25
蔡孟吉,15311358628,24
李于婷,15636715365,18
赖圣杰,18827190613,19
林建生,15846905025,22
杨雅雯,18572521666,25
刘怡发,18621517491,21
张琇辉,18843565343,20
黄淑娟,15987949241,20
叶维生,13887119966,27
金竣木,15371235558,20
张亭康,18960211180,18
魏信宏,15646290769,23
张康宏,15578468698,18
林国容,13405606623,25
林豪清,13940835805,23
胡振宇,15237961217,29
刘琼麟,15536273532,22
林郁荣,18854834358,29
杜汉湖,15639722043,23
张淑萍,13563241837,25
杨希香,15629273882,24
钱惠婷,18989370135,24
周凯东,15698323216,21
蔡伊容,13719764006,26
倪秀琴,15696114984,25
王雪玲,13433110189,21
刘晓雯,15888453641,21
李原光,13910488646,24
吴佩韦,15155252845,20
陈威以,18855711095,21
黎佩珊,15900197723,22
黎长娇,13675428394,26
黄伟贞,18700895142,28
陈亭贞,15787108242,26
袁裕治,13167719253,22
李钰婷,18878593225,22
赖宏达,15734036656,19
黄宗翰,15311674319,23
张智均,13518792793,25
赖雅茹,13513883434,18
姚凯婷,18533550458,19
陈韦廷,15682020536,21
葛信瑶,15892705904,23
刘建纬,15237363958,26
傅馨仪,15264662168,21
谢惠萱,13289414733,28
刘建来,13939293879,21
龙政峰,13958664855,25
许晏木,15831577929,20
蓝珮如,13528531446,29
赖乃倩,13359154434,29
叶阳筠,13802336758,26
陈嘉慧,18864076213,19
陈雅竹,13956022598,29
杨佳蓉,15330727184,29
林立妃,15595049167,25
郑雅竹,15147080587,27
李宗芸,18924955794,24
林常韦,15114933227,22
贲万维,15183848668,19
郭恭凤,13208782775,23
蔡万睿,15127829075,25
吴辛苹,18599268201,19
刘欣怡,15313922356,27
蔡家豪,13614049446,25
甘彦君,15143520727,25
黄建华,18590358720,28
李怡辉,15642138798,27
连芸以,13875883395,24
卢姿水,13139796684,25
詹家玮,18595150461,24
林以惟,18961729926,29
郑协荣,13286579020,24
马登琴,15208513427,24
林佑民,13169615306,21
谢明盛,13448435147,24
李奕君,15827179464,19
赖政宏,13257611948,29
周雯珮,13146045788,28
冯妤士,13955583410,26
许军菁,13560696413,23
蔡承法,15809573023,22
宋俊毅,13446534628,20
傅怡君,18537739267,20
林莹贞,15661779846,22
吴盈君,15343299370,20
